ID,url number,ACCIDENT LOCATION,ACCIDENT Date,Victim NUMBER,Vehicle 1,Vehicle 2,Vehicle 3
114,207,Khulna,10/27/2020 22:01,One,train,,
115,208,Mohammadpur,10/28/2020 22:01,One,bus,car,bike
116,208,Nilkhet,10/28/2020 22:01,One,bus,car,bike
117,209,Ujankhali,10/28/2020 22:01,two,bus,bike,
118,213,Comilla,10/30/2020 22:02,30,truck,bus,bike
119,213,Bangladesh,10/30/2020 22:02,30,truck,bus,bike
120,214,Birahimpur,10/30/2020 22:02,Two,motorcycle,rickshaw,auto
121,214,Birahimpur,10/30/2020 22:02,Two,motorcycle,rickshaw,auto
122,217,Nimtoli,11/1/2020 21:01,2010,car,train,
123,218,Faridganj,11/2/2020 21:01,three,motorcycle,,
124,218,Dhaka,11/2/2020 21:01,three,motorcycle,,
125,219,Dhamairhat,11/2/2020 21:01,10,motorcycle,auto,
126,219,Naogaon,11/2/2020 21:01,10,motorcycle,auto,
127,220,Kushtia,11/3/2020 21:01,five,truck,,
128,220,Pabna,11/3/2020 21:01,five,truck,,
130,229,Jhenaidah,11/6/2020 21:01,Ten,truck,bus,car
131,229,Munshiganj,11/6/2020 21:01,Ten,truck,bus,car
132,231,Syedabad,11/6/2020 21:01,Four,truck,car,rickshaw
133,234,Bangladesh,11/7/2020 21:01,seven,car,,
134,234,Liberia,11/7/2020 21:01,seven,car,,
135,237,Gazipur,11/7/2020 21:01,two,bus,train,
136,239,Lakkatura,11/7/2020 21:01,two,truck,motorcycle,
137,243,Patuakhali,11/8/2020 21:01,One,bike,,
138,243,Dhaka,11/8/2020 21:01,One,bike,,
140,247,Maryam,11/11/2020 21:02,10,bus,,
141,252,Shibpur,11/12/2020 21:03,30,truck,motorcycle,train
142,252,Nairsingdi,11/12/2020 21:03,30,truck,motorcycle,train
143,253,Mymensingh,11/13/2020 21:02,two,auto,,
144,253,Shikarikanda,11/13/2020 21:02,two,auto,,
145,254,Mymensingh,11/13/2020 21:02,two,auto,,
146,254,Shikarikanda,11/13/2020 21:02,two,auto,,
147,256,Bangladesh,11/14/2020 21:01,4200,car,,
148,258,Bagharpara,11/14/2020 21:01,five,bus,,
149,258,Jashore,11/14/2020 21:01,five,bus,,
150,265,Lakshmipur,11/17/2020 21:04,two,bus,motorcycle,rickshaw
151,265,Chandraganj,11/17/2020 21:04,two,bus,motorcycle,rickshaw
152,269,Chapainawabganj,11/19/2020 21:01,nine,bike,rickshaw,train
154,275,Sherpur,11/22/2020 21:02,three,bus,,
155,275,upazila,11/22/2020 21:02,three,bus,,
156,279,Bhutbhuti,11/22/2020 21:02,eight,car,,
157,281,Bhutbhuti,11/24/2020 21:00,eight,car,,
159,286,Kaliganj,11/27/2020 21:00,five,bus,,
160,287,Kaliganj,11/28/2020 21:00,eight,bus,auto,
161,289,Pirojpur,11/28/2020 21:00,4,bus,,
162,289,Pirojpur,11/28/2020 21:00,4,bus,,
165,292,Bangladesh,11/30/2020 21:02,113,train,auto,
166,293,Chandpur,12/1/2020 23:22,Three,rickshaw,auto,
167,293,Faridganj,12/1/2020 23:22,Three,rickshaw,auto,
168,299,Mirzapur,12/4/2020 21:02,six,truck,bus,
169,300,Daulatpur,12/4/2020 21:02,3,bus,rickshaw,auto
170,300,Manikganj,12/4/2020 21:02,3,bus,rickshaw,auto
171,306,Manikganj,12/5/2020 21:00,13,truck,bus,rickshaw
172,306,Manikganj,12/5/2020 21:00,13,truck,bus,rickshaw
