,ACCIDENT LOCATION,ACCIDENT Date,Killed NUMBER,Vehicle 1,Vehicle 2,Time (around),Part of the Day
378,sylhet,"September 27, 2021",3,truck,rickshaw,3pm,Afternoon
379,sonadanga,"September 27, 2021",3,truck,rickshaw,3pm,Afternoon
380,sunamganj,"September 25, 2021",3,pickup,truck,2am,Night
381,pabna,"September 24, 2021",6,truck,car,15pm,
382,naogaon,"September 24, 2021",6,truck,car,15pm,
383,sreerampur,"September 23, 2021",2,bike,pickup,9am,Morning
384,manda,"September 23, 2021",2,bike,pickup,9am,Morning
385,shajahanpur,"September 19, 2021",1,bus,,9pm,Night
386,bogura,"September 19, 2021",1,bus,,9pm,Night
388,sylhet,"September 19, 2021",8,rickshaw,bus,10am,Morning
390,magura,"September 13, 2021",4,bus,car,3pm,Afternoon
392,burichang,"September 11, 2021",3,truck,rickshaw,6am,Morning
395,debipur,"September 05, 2021",2,truck,bike,8pm,Night
396,dhaka,"September 05, 2021",2,truck,bike,8pm,Night
397,gobindaganj,"August 21, 2021",3,bus,bike,9pm,Night
399,habiganj,"August 16, 2021",6,rickshaw,auto-rickshaw,7am,Morning
409,kushtia,"July 14, 2021",2,motorcycle,,6am,Morning
410,gobindaganj,"July 12, 2021",2,truck,pickup,7am,Morning
411,gaibandha,"July 12, 2021",2,truck,pickup,7am,Morning
412,gulshan,"July 11, 2021",11,car,,11am,Morning
413,kalihati,"July 03, 2021",5,pickup,,7am,Morning
414,chala,"July 03, 2021",5,pickup,,7am,Morning
415,chattogram,"June 30, 2021",2,rickshaw,,12pm,Night
420,dhaka,"June 19, 2021",2,bus,,10pm,Night
421,gulshan,"June 19, 2021",2,bus,,10pm,Night
422,chattogram,"June 19, 2021",10,bus,rickshaw,3pm,Afternoon
425,manikganj,"June 13, 2021",3,truck,car,9am,Morning
427,dhaka,"June 03, 2021",1,bus,,6am,Morning
428,bhola,"May 28, 2021",7,bus,rickshaw,3pm,Afternoon
429,dhaka,"May 28, 2021",7,bus,rickshaw,3pm,Afternoon
430,bijoynagar,"May 20, 2021",3,car,truck,6am,Morning
431,brahmanbaria,"May 20, 2021",3,car,truck,6am,Morning
432,chandpur,"May 19, 2021",4,rickshaw,auto-rickshaw,12pm,Night
433,sonapur,"May 19, 2021",4,rickshaw,auto-rickshaw,12pm,Night
434,kishoreganj,"May 17, 2021",2,car,motorcycle,6pm,Evening
435,mithamoin,"May 17, 2021",2,car,motorcycle,6pm,Evening
436,sylhet,"May 16, 2021",2,bus,car,1pm,Afternoon
437,habiganj,"May 16, 2021",2,bus,car,1pm,Afternoon
438,chapainawabganj,"May 15, 2021",3,truck,rickshaw,9am,Morning
439,banshkhali,"May 10, 2021",3,rickshaw,,11am,Morning
440,chattogram,"May 10, 2021",3,rickshaw,,11am,Morning
442,jatrabari,"April 16, 2021",2,rickshaw,car,8am,Morning
